SHD,Phytochemical,Target,FDA approved drug,Disease,Indication_Type
Gymnema sylvestre,"1,8-Cineole",SLC6A3,Metamfetamine,Obesity,Obesity
Enicostema axillare,Octadecanoic acid,SLC6A3,Metamfetamine,Obesity,Obesity
Butea monosperma,Octadecanoic acid,SLC6A3,Metamfetamine,Obesity,Obesity
Gymnema sylvestre,Octadecanoic acid,SLC6A3,Metamfetamine,Obesity,Obesity
Gymnema sylvestre,Eugenol,SLC6A2,Amphetamine,Obesity,Obesity
Commiphora wightii,Ferulate,SLC6A2,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Ferulate,SLC6A2,Amphetamine,Obesity,Obesity
Tecomella undulata,Ferulate,SLC6A2,Amphetamine,Obesity,Obesity
Gymnema sylvestre,"1,8-Cineole",SLC6A2,Amphetamine,Obesity,Obesity
Aegle marmelos,Coumarins,SLC6A2,Amphetamine,Obesity,Obesity
Enicostema axillare,Octadecanoic acid,SLC6A2,Amphetamine,Obesity,Obesity
Butea monosperma,Octadecanoic acid,SLC6A2,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Octadecanoic acid,SLC6A2,Amphetamine,Obesity,Obesity
Terminalia arjuna,Catechol,SLC6A2,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Choline,SLC6A2,Amphetamine,Obesity,Obesity
Terminalia arjuna,Mannitol,SLC6A2,Amphetamine,Obesity,Obesity
Butea monosperma,Linolenic acid,SLC6A2,Amphetamine,Obesity,Obesity
Enicostema axillare,Oleic acid,SLC6A2,Amphetamine,Obesity,Obesity
Butea monosperma,Oleic acid,SLC6A2,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Inositol,SLC6A2,Amphetamine,Obesity,Obesity
Terminalia arjuna,Catechol,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Choline,SLC6A3,Amphetamine,Obesity,Obesity
Butea monosperma,Linolenic acid,SLC6A3,Amphetamine,Obesity,Obesity
Aegle marmelos,Coumarins,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Inositol,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Eugenol,SLC6A3,Amphetamine,Obesity,Obesity
Enicostema axillare,Oleic acid,SLC6A3,Amphetamine,Obesity,Obesity
Butea monosperma,Oleic acid,SLC6A3,Amphetamine,Obesity,Obesity
Terminalia arjuna,Mannitol,SLC6A3,Amphetamine,Obesity,Obesity
Commiphora wightii,Ferulate,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Ferulate,SLC6A3,Amphetamine,Obesity,Obesity
Tecomella undulata,Ferulate,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,"1,8-Cineole",SLC6A3,Amphetamine,Obesity,Obesity
Enicostema axillare,Octadecanoic acid,SLC6A3,Amphetamine,Obesity,Obesity
Butea monosperma,Octadecanoic acid,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Octadecanoic acid,SLC6A3,Amphetamine,Obesity,Obesity
Gymnema sylvestre,Eugenol,MC4R,Setmelanotide,Obesity,Obesity
Aegle marmelos,Coumarins,MC4R,Setmelanotide,Obesity,Obesity
Terminalia arjuna,Catechol,MC4R,Setmelanotide,Obesity,Obesity
Terminalia arjuna,Mannitol,MC4R,Setmelanotide,Obesity,Obesity
Commiphora wightii,Ferulate,MC4R,Setmelanotide,Obesity,Obesity
Gymnema sylvestre,Ferulate,MC4R,Setmelanotide,Obesity,Obesity
Tecomella undulata,Ferulate,MC4R,Setmelanotide,Obesity,Obesity
Gymnema sylvestre,"1,8-Cineole",MC4R,Setmelanotide,Obesity,Obesity
Pterocarpus marsupium,(-)-Epicatechin,FASN,Orlistat,Obesity,Obesity
Enicostema axillare,Apigenin,PNLIP,Orlistat,Obesity,Obesity
Gymnema sylvestre,Eugenol,SLC6A2,Benzphetamine,Obesity,Obesity
Commiphora wightii,Ferulate,SLC6A2,Benzphetamine,Obesity,Obesity
Gymnema sylvestre,Ferulate,SLC6A2,Benzphetamine,Obesity,Obesity
Tecomella undulata,Ferulate,SLC6A2,Benzphetamine,Obesity,Obesity
Gymnema sylvestre,"1,8-Cineole",SLC6A2,Benzphetamine,Obesity,Obesity
Aegle marmelos,Coumarins,SLC6A2,Benzphetamine,Obesity,Obesity
Enicostema axillare,Octadecanoic acid,SLC6A2,Benzphetamine,Obesity,Obesity
Butea monosperma,Octadecanoic acid,SLC6A2,Benzphetamine,Obesity,Obesity
Gymnema sylvestre,Octadecanoic acid,SLC6A2,Benzphetamine,Obesity,Obesity
Terminalia arjuna,Catechol,SLC6A2,Benzphetamine,Obesity,Obesity
Gymnema sylvestre,Choline,SLC6A2,Benzphetamine,Obesity,Obesity
Terminalia arjuna,Mannitol,SLC6A2,Benzphetamine,Obesity,Obesity
Butea monosperma,Linolenic acid,SLC6A2,Benzphetamine,Obesity,Obesity
Enicostema axillare,Oleic acid,SLC6A2,Benzphetamine,Obesity,Obesity
Butea monosperma,Oleic acid,SLC6A2,Benzphetamine,Obesity,Obesity
Gymnema sylvestre,Inositol,SLC6A2,Benzphetamine,Obesity,Obesity
Gymnema sylvestre,Eugenol,SLC6A2,Phentermine,Obesity,Obesity
Commiphora wightii,Ferulate,SLC6A2,Phentermine,Obesity,Obesity
Gymnema sylvestre,Ferulate,SLC6A2,Phentermine,Obesity,Obesity
Tecomella undulata,Ferulate,SLC6A2,Phentermine,Obesity,Obesity
Gymnema sylvestre,"1,8-Cineole",SLC6A2,Phentermine,Obesity,Obesity
Aegle marmelos,Coumarins,SLC6A2,Phentermine,Obesity,Obesity
Enicostema axillare,Octadecanoic acid,SLC6A2,Phentermine,Obesity,Obesity
Butea monosperma,Octadecanoic acid,SLC6A2,Phentermine,Obesity,Obesity
Gymnema sylvestre,Octadecanoic acid,SLC6A2,Phentermine,Obesity,Obesity
Terminalia arjuna,Catechol,SLC6A2,Phentermine,Obesity,Obesity
Gymnema sylvestre,Choline,SLC6A2,Phentermine,Obesity,Obesity
Terminalia arjuna,Mannitol,SLC6A2,Phentermine,Obesity,Obesity
Butea monosperma,Linolenic acid,SLC6A2,Phentermine,Obesity,Obesity
Enicostema axillare,Oleic acid,SLC6A2,Phentermine,Obesity,Obesity
Butea monosperma,Oleic acid,SLC6A2,Phentermine,Obesity,Obesity
Gymnema sylvestre,Inositol,SLC6A2,Phentermine,Obesity,Obesity
